title,review,date
Family Day Out At The Zoo,"Had an amazing time here with my little girl and her gran on a sunny day in June.Variety of animals the zoo has is incredible, plenty of places to eat and drink, great selection of play parks for kids, and the staff do an amazing job of keeping the entire zoo immaculate.We all had a magical day and would highly recommend it for a day out with the family.It's a little bit hilly (especially on way up to see lions and tigers) but well worth the climb uphill to see such beautiful animals.The animal talks were highly engaging and would also highly recommend attending these when visiting.Keep up the brilliant work RZSS.",28 June 2025
An excellent day out,We visited using the season ticket from our local zoo. From arrival we were made very welcome. Staff took time out to talk to us and tell us about the animals. We loved the large enclosures that the animals had to roam in and had great views of many during the day. Thank you everyone for a great day!,25 June 2025
Our favourite place for our days off,We’re members and love the zoo.So many different animals too see and easy to get to by the 26 or 31 bus from the Center.It is a challenging zoo as it’s all on hill so be prepared to get your hike on but it’s all worth it.Staff are great and always happy to helpWorth a visit we almost go every other month,20 June 2025
Youth club day out,"Brilliant day out with the Youth Club at the Zoo, we travelled all the way up from County Durham and the zoo staff couldnt have been more helpful from initial contact to collecting the tickets on the day.  The zoo was clean and tidy and the group loved it with the penguins being a firm favourite.  We even took advantage of the lunch voucher system and the visit triggered some additional workshops following the visit.",14 June 2025
Best zoo,"This was without a doubt one of the best zoo visits we've ever had (helped by the fact we stayed at the Holiday Inn on sight and were offered discounted tickets after 14:00, so therefore the crowds had also dispersed) Despite the layout being steep, the views over Edinburgh were superb once at the top, everything was well laid out and easy to find. Just wish we'd had longer, but I'm sure we will return!",12 June 2025
Great day out!,"Loved seeing all the different animals especially the penguins and giraffes! Great choice of gifts in gift shop. Staff all friendly, approachable and helpful. Despite the rain it was an enjoyable experience!",7 June 2025
Lovely zoo,"We were welcomed by informative staff who were very friendly. The zoo is quite hilly , but the views are amazing. The animals are well looked after too. We were lucky enough to get a good look at the sloth who put on a little show! The penguins were great too. There’s lots of cafes and areas to sit down. The shop is well stocked and reasonably priced.",7 June 2025
Great day,Had a really good day out at the zoo. We had two young children there and was good for all.The giraffes were so amazing they were inside and you coukd see them so close was an experience I won't be forgetting. All the facilities were clean the toilets at the top of the hill were as clean as the ones at the bottom of the hill. We used the accessibility van to get to top of the hill was amazing so we'll managed and the driver was so pleasant. Really like there sensory bags that they provide for disabled kids was very well done and such a good idea. All the staff were fab and so engaging with the little kids.,5 June 2025
Great zoo,Brilliant zoo loved how close you got to the animals would definitely come back.  Great day out would recommend to anyone.,3 June 2025
Great exhibits,"Place was clean and the exhibits were great, shame a few were closed at the time, staff were friendly but didn’t enjoy the food",1 June 2025
Never gets old!,"The experience was wonderful, the Zoo is massive and there is so much to see! The Enclosures and the animals look well cared for and there is lots of information to learn about each animal and the natural habitats, the zoo overall is clean and even outside of the enclosures it’s pretty. I’ve been many times and it doesn’t get boring, one thing I would say it is pricey.",26 May 2025
Worth the visit,"Lovely big zoo, numerous animals . Very steep hill to get to top but restaurants and food/drink places on way up. Big gift shop , staff very pleasant . Will definitely be visiting again.",24 May 2025
Lots to see,"We pre-booked the tickets online. The queue to get in was massive - queued all the way up the hill! It did move fairly quickly though and in about 10 minutes we were at the desk.I initially thought the entrance fee was a bit high (£25), but given how long you can spend here, I now feel it’s good value. We were there over 4 hours, but could have stayed longer.There are so many different animals to see. You can pick up a helpful map at the entrance desk that shows you where each animal is located.The zoo is on a hill, so some of the uphill walks are a little steep.Most animals seemed to have decent sized enclosures (for a zoo).",22 May 2025
Car park staff very rude!,"We had a great time at the zoo. The weather was great so we were able to spend a lot of time there. The problem was parking. When we arrived there was a sign saying the car park was full, we drove off to look for something else, unfortunately there was nothing. So we went back and checked to see if there were any spaces but unfortunately we were asked to leave because apparently there were no spaces as the car park attendant said, when we asked why we couldn't park we were told that when there were 20 spaces they would open the car park. Ridiculous!!! The car park staff were very rude and aggressive. I expected to have somewhere to park, especially since I had spent £150 on tickets. Due to the lack of spaces I will not be returning to this place",19 May 2025
Won't be back.,"Animals and weather were great. Saw a lot, which is lucky as the animals have the freedom to roam between their own private out the way areas, and their public view areas.Pricing though is now bordering on unaffordable.Food - we ate at the Gannet.Chicken wings were overcooked and dry. Onion rings were just batter with one sliver of onion. Very disappointing and expensive for what it was.If you go, bring your own drinks.A 330ml can of Fanta? £2.60.A small juice carton - the little lunchbox ones for kids? £1.95.I expect a markup, but 150+% is laughable.The giftshop is where it gets full on ridiculous though. Small stuffed toys ranging from £30. We saw priced at £68 a 22cm Meerkat. Had the items been in any way reasonably priced, we'd likely have made a purchase or two. Can get similar items on Amazon for £7.The other trinkets and souvenirs are equally as ridiculously priced.I see the zoo reply with explanations of ""oh but the money goes to the animals.""But that doesn't make the price gouging any less off-putting.We won't be back.",18 May 2025
Zoo Keeper Experience,"My partner booked us a Zoo Keeper experience day for my birthday. I'm not sure what I expected but this exceeded everything I had hoped for!! Charlie and Megan guided us around most of the zoo and we got hands on experience preparing and feeding around 7 different species (including Rhino, Lion, Chimps, Sloths!). They were so thorough and gave us some detailed knowledge on each animal. The whole day was just incredible and we have both been on a high since.Charlie and Megan are both an absolute credit to their profession. Their passion and respect for the animals, and for conservation & education was evident throughout the day. Thanks again to you both for making it such an unforgettable and special day. Best birthday gift ever!",18 May 2025
A Family-Friendly day at Edinburgh Zoo,"We had a lovely visit to Edinburgh Zoo. The staff were incredibly helpful - since we were visiting with young baby, they offered us a ride in a zoo vehicle to start at the top of the hill. This made it much easier to walk down through the zoo with the buggy, and we really appreciated the thoughtful support.It was a fairly quiet day, but we still got to see some great animals, including lions, giraffes, chimpanzees, and a few others. Some animals were less active, but that's to be expected on the time of day.At the end of the visit, there is a great shopping area near the exit with a wide range of souvenirs and gifts - perfect for picking up something to remember the day. The zoo is clean, well laid out, and very family friendly.",11 May 2025
RACIST workers and aggression,"we were having a great time and were at the penguins until a manager told us that we had to leave because SOMEONE else and their daughter was being rude to us and gave us the middle finger for absolutely no reason, including with dirty looks and the workers there STILL told us to leave because apparently only their side of the story matters and couldn't even spare 2 seconds to hear what they done to us, although we done nothing. The workers Emily and Ve  told us to leave while being aggressive and not letting any of us speak. Just because they were full Scottish and we were from somewhere else we had to leave immediately even though they were being extremely rude. Must be why they wouldnt even let us speak nor  listen to us at all. I DO NOT recommend coming to Edinburgh zoo, racism is too normalised and the workers there clearly normalised it aswell. Speaking about the actual zoo, the animals are nice and it was a fun experience. But speaking about the workers and the people there not so much. If you're foreign like us it might not be for you as the workers treat you differently.",10 May 2025
Incredible Day Out - A Must!,"We had such a fantastic day from start to end! So many animals to explore, a fantastic set up with wonderful enclosures and information. Great viewing points for children too. By far the best part of our experience was the staff members. So many volunteers helped us see animals which were tucked away or told us things we didn’t know. Even when purchasing a few toys at the end the shop assistant asked about our day, favourite animal and then told us something we didn’t know again! Can’t wait to go back!",10 May 2025
Full day of animal fun,"We had a lovely day at the zoo. We arrived just after 10 on Sunday it was reasonably busy on entry we didn't wait long  though and when inside people soon spread out so it didn't feel too busy at all. It was a nice enough day and we enjoyed our walk around. We headed up hill to the right first taking it all in along the way. You don't walk far between animals so the hill doesn't seem so daunting,  steep in bits though. We had an ice cream/ coffee stop first and a play at play park. Then continued up to the top of the hill where we got chips and juice for lunch.  Ice cream again on way back down. Our 4 year old managed until around 3.30pm before needing a stroller but I just popped down and hired one then (£7.50 + £10deposit) - it was a life saver for the last couple of hours. Our favourite animals were sloth, porcupine,  lion,  rhino, penguin, giraffe,  zebra,  monkeys... really all of them! And the play parks are fun. Staff are lovely. A fab day out.",6 May 2025
Birthday Visit - Christmas Present,"My wife has just been to the zoo to redeem her Christmas gift,, taking in a half day zookeeper experience. Natalie, our experienced zookeeper, met us at just before 9am and took us both (I had already paid for my entrance to the zoo) to the starting point in the zookeeper hut. There, she explained all the Health & Safety and we set off to the buff cheeked Gibbons enclosure. Gibbons cleaned out and breakfast fed, we set off to see Otto in the pygmy hippo enclosure. Gillian got to feed him with a pair of tongs for safety. He was so cute and likes a carrot or 10! He even managed a poo whilst we were there 😂😂. Natalie had warned us this would happen. Next stop we went to see the armadillos and sloths. Gillian got a feed and a hold of a 3 ringed armadillo. So cute, but huge claws on them. Cheeky wee feed of the sloth and we were off again, to see the penguins and feed them. Gillian got to go into the penguin enclosure and feed them some fish, which she absolutely loved. Throughout the experience, Natalie fed us lots of information and she was an excellent guide. Couldn't speak any higher of her. Such a lovely girl and she knew her stuff! I'd strongly recommend this experience to anyone with a love of animals",1 May 2025
Animal magic,"Apart from being on the side of a mountain (or it felt like it) it's one of the nicest.zoos.ive been to ,it was clean a.d well presented",30 April 2025
Happy animals,My girlfriend wanted to visit it for a long time ago. Well in April we could make it. That was the best zoo experience in our life. The animals look happy and healthy.,29 April 2025
A nice day out.,"So, I’ve been here two times before and said I wouldn’t go again. The ticket prices are high but got a deal so worked out as £7 per person (universal credit offer).This is the first time I’ve enjoyed it. Would I pay full price though, no I wouldn’t. But I would pay the discounted price again.",28 April 2025
Really enhanced by the app and daily talks,"Make sure to download the app!If you visit, to go to the talks even if you don't know the animal because they're fascinating to learn about.We learnt about Warty-Pigs and Drill (a type of big Monkey) they're really interesting animals and we got to see the Drill really close.One of the best Zoos I have been to, with lots of cafes with good food for when you're tired.",24 April 2025
Fabulous animals and great staff but very steep hills.,"Overall this is a really nice zoo. We were able to see almost all of the animals at some point although some enclosures we had to revisit. Some enclosures and paddocks felt a bit small but most were generous. The animals looked happy, relaxed and well looked after. They were a pleasure to stand and watch.I knew Edinburgh had hills but this zoo is not mobility friendly with some excessive steep hills. Steps could be put in half was across these paths but I appreciate this would have an effect on vehicles.Some vans drove with care and patience however there was a lady in a white van who looked very young who was driving quickly and I almost fell moving out of the way.We went to eat at Grasslands. The service was great. A lady called Hannah saw I was struggling with the online order service and asked her supervisor to assist. This was sorted fast with no fuss or embarrassment. I loved Hannah's ""positive vibes"" she's a delight and credit to the team and clearly well suited to the role.Additionally at the sloths house a lady called Emma was able to give lots of information on the sloths and armadillo and we were totally entertained and educated.It's obvious the staff here are good at their jobs and the animals respond to this.",22 April 2025
Lovely zoo and lots of animals,"We pre booked the week before, sadly on the day the weather wasn’t great , windy and rain , but we went ahead and actually enjoyed the visit , lots of animals to see and the restaurants where reasonably priced , and lots of toilets at various points , highly recommend visiting.",17 April 2025
Decent zoo but some parts unsuitable for children.,"We took our young child to the zoo in the hopes that we could educate him about wildlife and animal conservation. He was particularly pleased to see the penguins and capybaras so no complaints there.However, there is an issue that has caused us great upset.Went to see the wallabys, they were lounging around and wouldnt stand up to hop so not much to see so right beside them, there are goats so we took the child over to see them. We were met with the sight of the dominant male goat, repeatedly trying to force himself onto the female goat and mate with her against her will. The female goat kept trying to get away but he was persistent and repeatedly overpowered her.Other families were upset seeing this, several of us yelled at the male goat to stop but he would not. We saw staff nearby and doing absolutely nothing to intervene in what was clearly a non consensual assault. My child and other children were getting upset, my child said to me as I led him away 'why is that goat hurting the other one?'I did not plan to have to explain to my child about such a subject after a zoo visit. Disappointed the staff did not stop it.",13 April 2025
"Nesting Penguins, Pallas Cat and huge smiles.","We had a fantastic day at Edinburgh Zoo! It's such a well-laid-out and engaging place, and we were genuinely impressed by the variety of animals—especially the pallas cats, which we’d never seen before. Huge highlight! The penguins were also a joy to watch—many of them were nesting and had eggs, which was such a special thing to see up close. Having visited zoos, safaris, and wildlife parks both across the UK and abroad, we’ve seen our fair share, but this place truly stands out. Considering my husband works in animal welfare and knows his stuff, the fact that he loved it too says a lot. The enclosures looked thoughtfully designed, and the animals all seemed well cared for. A brilliant experience for both animal enthusiasts and curious visitors alike!One thing to consider however, this zoo is on a very big hill - possible mobility issues. Start from the top and work your way down.",12 April 2025
Lovely day!,"Lovely day out, saw pretty much all the animals, staff were friendly! 🙂 Spoke to volunteer and were really helpfull! 5*",11 April 2025
Amazing!!!,"We study at an animal based college and we came along for a trip to help with assignments. I absolutely loved every moment of it, there is a large range of species and the staff across the zoo are lovely. Would definitely love to visit again :)",8 April 2025
VERY steep - you have been warned!,"I had visited this zoo many years ago, when my mobility issues were not as severe, and I think that left me with a rose-tinted memory of this zoo!It is INCREDIBLY steep, and just when you think you've reached the top, it keeps going at a sharper incline!The staff did offer a mobility transport shuttle to the top when I arrived (walking with my cane) but they described the zoo as ""being on a hill"", when really it feels more like Everest for the disabled! 😂I declined the shuttle, thinking I could just slowly make my way up. MISTAKE!It's a great little zoo, with plenty of animals and interesting exhibits, just heed my warning!Wheelchairs and mobility scooters are possible to rent from the front desk, and the Zoo Map has a number to call the shuttle to the top. If you have mobility issues, don't be like me, USE THEM! 😂",27 March 2025
You have been warned!,"You have been warned!A really disappointing day all round. Besides the £55 for a couple to get in you're then presented with the most overpriced cafe. Three sandwiches, three mediocre coffees and a couple of kids packs. Grand total £44.00. plus £4.00 to park which as we were to find out was a bargain!A lot of the 'houses' are closed. The dinosaur animatronics aren't functioning plus most have been ravaged by time, with foam hanging out.If you're getting on a bit get a bus to the top and walk down as it's pretty steep.All in all for a £100 it's really taking the biscuit.So sad.",21 March 2025
Great experience.,"It was great experience travelled from Birmingham to Edinburgh Zoe with family and grandchildren, great day out experience.",16 March 2025
Vast improvements required. Take note.,"Where do I begin.Firstly easy enough to park - cost of parking £4- mind you i was there at 1000.Then had to queue at least 20 minutes to get in at a cost of £29.50. It was only after I had paid that the young lady on the till informed me that it was a very steep climb to the top. No offer of transportation to get to top or even asked if I could manage - needless to say I’ve yet to make it to the top - were probably scared on till that I’d ask for a refund as not able to manage walk to top.Encloses- quite a few were either empty or very  need of good improvement to them. Best updated enclosure was the sloth and armadillo enclosure as it looked brand new.As for food - or lack there of - it was expensive - for a soggy ham, cheese and tomato panini and a coke £9.95 for indigestion.On visiting Edinburgh zoo it reminds me me why I hate zoos but I keep thinking that this establishment will improve but I Live in hope.May I suggest that the owners of Edinburgh zoo either move this establishment to flatter ground and upgrade their facilities for the sake of the animals and members of the public. And also a visit to Chester zoo would give them an insight into how a zoo should be run.",15 March 2025
"Don’t underestimate how steep this zoo is. Be prepared. Especially with a pray, elderly or limited mobility.","Great zoo with so many different animals.After parking - it was quick confusing where you go to get into the park - we were members so needed to find the members entrance. Once we located this - it was straight in.It was a little confusing which way to go - you kinda start in the middle - so we walked down hill and did everything there but then the walk to the top of the zoo if not for the faint hearted.It is horrendous for those with mobility, children in push chairs and elderly - there is also no provision that I could see to help with this - maybe a train and cable car would be great.The nice thing is that you can take the whole day to get to the top and take your time going back and forth as you view all the animals. Half way up there is a play park and picnic spot - it was a life saver - sat there for an hour to eat and chill. Then started the hike to the top -Please do not underestimate how steep this is in places, especially pushing a pram.That aside - it’s a wonderful day out and well worth every penny. The staff are also super engaging",7 March 2025
Terrible,"Car park closed, no attendant on the gate to advise people where to go.The animals looked very depressed, it was too cold for them.This was more of animal prison than a zoo.",2 March 2025
Fun,Saw a lovely big monkey here. My cousin and I had a great day. Unfortunately he died on the train home but it was a cool trip.,28 February 2025
